formula,x_Fe,x_Mn,x_Ni,x_Mg,V_lithiated,V_delithiated,dV_percent,density_g_cm3,U_cut_V
LiFe0.11Mn0.12Ni0.36Mg0.41PO4,0.11,0.12,0.36,0.41,303.2510012886566,275.7360835339906,9.978714937130876,3.4377872485470156,4.278
LiFe0.07Mn0.65Ni0.24Mg0.04PO4,0.07,0.65,0.24,0.04,303.40752714172834,275.38183813479816,10.177028810887569,3.4351920743067996,4.286
LiFe0.21Mn0.13Ni0.60Mg0.07PO4,0.21,0.13,0.6,0.07,302.85968665597716,276.6216970319717,9.485152432194397,3.4442751841475547,4.258
LiFe0.17Mn0.19Ni0.19Mg0.45PO4,0.17,0.19,0.19,0.45,303.01621250904896,276.2674516327793,9.682197710291513,3.441680009907339,4.266
LiFe0.02Mn0.18Ni0.61Mg0.18PO4,0.02,0.18,0.61,0.18,303.60318445806803,274.9390313858076,10.425639796496382,3.4319481065065305,4.296
LiFe0.43Mn0.15Ni0.31Mg0.12PO4,0.43,0.15,0.31,0.12,301.9987944640825,278.5700467275301,8.410361419606645,3.45854864246874,4.2139999999999995
LiFe0.17Mn0.22Ni0.49Mg0.11PO4,0.17,0.22,0.49,0.11,303.01621250904896,276.2674516327793,9.682197710291513,3.441680009907339,4.266
LiFe0.31Mn0.48Ni0.09Mg0.12PO4,0.31,0.48,0.09,0.12,302.4683720232978,277.50731052995275,8.994740155016874,3.450763119748093,4.2379999999999995
LiFe0.15Mn0.56Ni0.26Mg0.03PO4,0.15,0.56,0.26,0.03,303.09447543558485,276.09032893318306,9.78090996767116,3.440382422787231,4.27
LiFe0.38Mn0.44Ni0.08Mg0.09PO4,0.38,0.44,0.08,0.09,302.1944517804222,278.12723997853954,8.653309831766096,3.4553046746684704,4.224
LiFe0.12Mn0.00Ni0.86Mg0.01PO4,0.12,0.0,0.86,0.01,303.21186982538865,275.8246448837887,9.929216061581007,3.4384360421070697,4.276
LiFe0.80Mn0.04Ni0.08Mg0.08PO4,0.8,0.04,0.08,0.08,300.5509303231687,281.8468166700601,6.6362692593417885,3.482554004190734,4.14
LiFe0.20Mn0.21Ni0.49Mg0.10PO4,0.2,0.21,0.49,0.1,302.8988181192451,276.5331356821736,9.53436642304386,3.4436263905875006,4.26
LiFe0.29Mn0.18Ni0.19Mg0.34PO4,0.29,0.18,0.19,0.34,302.5466349498337,277.3301878303565,9.092572040841839,3.4494655326279853,4.242
LiFe0.08Mn0.40Ni0.27Mg0.24PO4,0.08,0.4,0.27,0.24,303.36839567846044,275.4703994845963,10.127402525302582,3.435840867866854,4.284
LiFe0.09Mn0.41Ni0.36Mg0.14PO4,0.09,0.41,0.36,0.14,303.3292642151925,275.5589608343944,10.0778081383053,3.436489661426908,4.282
LiFe0.30Mn0.11Ni0.10Mg0.49PO4,0.3,0.11,0.1,0.49,302.5075034865657,277.41874918015463,9.043640482323188,3.4501143261880394,4.24
LiFe0.34Mn0.35Ni0.05Mg0.25PO4,0.34,0.35,0.05,0.25,302.3509776334939,277.7729945793471,8.848226261651952,3.452709500428255,4.232
LiFe0.70Mn0.14Ni0.15Mg0.01PO4,0.7,0.14,0.15,0.01,300.9422449558481,280.96120317207897,7.111672913619829,3.476066068590195,4.16
LiFe0.21Mn0.11Ni0.53Mg0.16PO4,0.21,0.11,0.53,0.16,302.85968665597716,276.6216970319717,9.485152432194397,3.4442751841475547,4.258
LiFe0.29Mn0.43Ni0.11Mg0.18PO4,0.29,0.43,0.11,0.18,302.5466349498337,277.3301878303565,9.092572040841839,3.4494655326279853,4.242
LiFe0.01Mn0.41Ni0.22Mg0.36PO4,0.01,0.41,0.22,0.36,303.642315921336,274.85047003600954,10.475458121484847,3.4312993129464764,4.298
LiFe0.05Mn0.06Ni0.47Mg0.41PO4,0.05,0.06,0.47,0.41,303.48579006826424,275.20471543520193,10.27637720100083,3.433894487186692,4.29
LiFe0.29Mn0.67Ni0.03Mg0.01PO4,0.29,0.67,0.03,0.01,302.5466349498337,277.3301878303565,9.092572040841839,3.4494655326279853,4.242
LiFe0.62Mn0.12Ni0.04Mg0.22PO4,0.62,0.12,0.04,0.22,301.2552966619916,280.2527123736941,7.494159150292992,3.470875720109764,4.176
LiFe0.13Mn0.04Ni0.54Mg0.28PO4,0.13,0.04,0.54,0.28,303.1727383621207,275.91320623358683,9.879748961873203,3.4390848356671233,4.274
LiFe0.71Mn0.15Ni0.11Mg0.04PO4,0.71,0.15,0.11,0.04,300.90311349258013,281.04976452187714,7.063997724558704,3.4767148621502493,4.1579999999999995
LiFe0.24Mn0.00Ni0.03Mg0.73PO4,0.24,0.0,0.03,0.73,302.74229226617337,276.887381081366,9.337699350484172,3.446221564827716,4.252
LiFe0.02Mn0.34Ni0.29Mg0.34PO4,0.02,0.34,0.29,0.34,303.60318445806803,274.9390313858076,10.425639796496382,3.4319481065065305,4.296
LiFe0.22Mn0.05Ni0.24Mg0.50PO4,0.22,0.05,0.24,0.5,302.82055519270926,276.71025838176985,9.435969943302835,3.4449239777076084,4.256
LiFe0.11Mn0.19Ni0.20Mg0.50PO4,0.11,0.19,0.2,0.5,303.2510012886566,275.7360835339906,9.978714937130876,3.4377872485470156,4.278
LiFe0.17Mn0.11Ni0.63Mg0.10PO4,0.17,0.11,0.63,0.1,303.01621250904896,276.2674516327793,9.682197710291513,3.441680009907339,4.266
LiFe0.06Mn0.61Ni0.20Mg0.12PO4,0.06,0.61,0.2,0.12,303.4466586049963,275.29327678500005,10.22668702584539,3.434543280746746,4.288
LiFe0.16Mn0.42Ni0.24Mg0.18PO4,0.16,0.42,0.24,0.18,303.0553439723169,276.1788902829812,9.731538012118635,3.4410312163472847,4.268
LiFe0.25Mn0.21Ni0.14Mg0.40PO4,0.25,0.21,0.14,0.4,302.7031608029054,276.9759424311641,9.288611186199027,3.4468703583877702,4.25
LiFe0.15Mn0.18Ni0.13Mg0.53PO4,0.15,0.18,0.13,0.53,303.09447543558485,276.09032893318306,9.78090996767116,3.440382422787231,4.27
LiFe0.21Mn0.23Ni0.29Mg0.28PO4,0.21,0.23,0.29,0.28,302.85968665597716,276.6216970319717,9.485152432194397,3.4442751841475547,4.258
LiFe0.02Mn0.25Ni0.03Mg0.70PO4,0.02,0.25,0.03,0.7,303.60318445806803,274.9390313858076,10.425639796496382,3.4319481065065305,4.296
LiFe0.27Mn0.03Ni0.55Mg0.15PO4,0.27,0.03,0.55,0.15,302.6248978763695,277.15306513076035,9.190528971271378,3.4481679455078775,4.2459999999999996
LiFe0.24Mn0.24Ni0.37Mg0.15PO4,0.24,0.24,0.37,0.15,302.74229226617337,276.887381081366,9.337699350484172,3.446221564827716,4.252
LiFe0.06Mn0.30Ni0.03Mg0.61PO4,0.06,0.3,0.03,0.61,303.4466586049963,275.29327678500005,10.22668702584539,3.434543280746746,4.288
LiFe0.10Mn0.51Ni0.34Mg0.04PO4,0.1,0.51,0.34,0.04,303.29013275192455,275.6475221841925,10.028245619150088,3.437138454986962,4.28
LiFe0.01Mn0.02Ni0.13Mg0.84PO4,0.01,0.02,0.13,0.84,303.642315921336,274.85047003600954,10.475458121484847,3.4312993129464764,4.298
LiFe0.52Mn0.05Ni0.09Mg0.34PO4,0.52,0.05,0.09,0.34,301.64661129467106,279.36709887571305,7.974995090194885,3.464387784509225,4.196
LiFe0.03Mn0.66Ni0.31Mg0.01PO4,0.03,0.66,0.31,0.01,303.5640529948001,275.02759273560577,10.375853555402156,3.432596900066584,4.294
LiFe0.44Mn0.13Ni0.33Mg0.10PO4,0.44,0.13,0.33,0.1,301.95966300081454,278.6586080773282,8.361864391793794,3.459197436028794,4.212
LiFe0.03Mn0.32Ni0.29Mg0.35PO4,0.03,0.32,0.29,0.35,303.5640529948001,275.02759273560577,10.375853555402156,3.432596900066584,4.294
LiFe0.26Mn0.10Ni0.05Mg0.60PO4,0.26,0.1,0.05,0.6,302.66402933963747,277.06450378096224,9.23955440315564,3.447519151947824,4.248
LiFe0.00Mn0.67Ni0.24Mg0.09PO4,0.0,0.67,0.24,0.09,303.6814473846039,274.7619086862114,10.525308561391498,3.4306505193864227,4.3
LiFe0.08Mn0.04Ni0.41Mg0.46PO4,0.08,0.04,0.41,0.46,303.36839567846044,275.4703994845963,10.127402525302582,3.435840867866854,4.284
LiFe0.05Mn0.05Ni0.49Mg0.42PO4,0.05,0.05,0.49,0.42,303.48579006826424,275.20471543520193,10.27637720100083,3.433894487186692,4.29
LiFe0.19Mn0.12Ni0.36Mg0.33PO4,0.19,0.12,0.36,0.33,302.93794958251306,276.4445743323755,9.583611946127027,3.442977597027447,4.262
LiFe0.53Mn0.16Ni0.00Mg0.31PO4,0.53,0.16,0.0,0.31,301.6074798314031,279.4556602255111,7.926774354119807,3.465036578069279,4.194
LiFe0.42Mn0.17Ni0.07Mg0.34PO4,0.42,0.17,0.07,0.34,302.03792592735044,278.481485377732,8.458889293005074,3.4578998489086863,4.216
LiFe0.60Mn0.03Ni0.10Mg0.28PO4,0.6,0.03,0.1,0.28,301.33355958852746,280.07558967409796,7.590083069776179,3.469578132989656,4.18
LiFe0.10Mn0.39Ni0.02Mg0.49PO4,0.1,0.39,0.02,0.49,303.29013275192455,275.6475221841925,10.028245619150088,3.437138454986962,4.28
LiFe0.37Mn0.09Ni0.07Mg0.46PO4,0.37,0.09,0.07,0.46,302.23358324369013,278.0386786287414,8.701992375404577,3.4546558811084167,4.226
LiFe0.02Mn0.16Ni0.48Mg0.33PO4,0.02,0.16,0.48,0.33,303.60318445806803,274.9390313858076,10.425639796496382,3.4319481065065305,4.296
LiFe0.21Mn0.67Ni0.04Mg0.07PO4,0.21,0.67,0.04,0.07,302.85968665597716,276.6216970319717,9.485152432194397,3.4442751841475547,4.258
LiFe0.12Mn0.41Ni0.15Mg0.32PO4,0.12,0.41,0.15,0.32,303.21186982538865,275.8246448837887,9.929216061581007,3.4384360421070697,4.276
LiFe0.42Mn0.13Ni0.27Mg0.17PO4,0.42,0.13,0.27,0.17,302.03792592735044,278.481485377732,8.458889293005074,3.4578998489086863,4.216
LiFe0.40Mn0.14Ni0.03Mg0.43PO4,0.4,0.14,0.03,0.43,302.11618885388634,278.30436267813576,8.556037694345958,3.456602261788578,4.22
LiFe0.02Mn0.34Ni0.05Mg0.60PO4,0.02,0.34,0.05,0.6,303.60318445806803,274.9390313858076,10.425639796496382,3.4319481065065305,4.296
LiFe0.48Mn0.01Ni0.02Mg0.50PO4,0.48,0.01,0.02,0.5,301.80313714774275,279.0128534765206,8.168184148957131,3.4617926102690095,4.204
LiFe0.56Mn0.15Ni0.07Mg0.22PO4,0.56,0.15,0.07,0.22,301.49008544159926,279.7213442749055,7.782295349367333,3.4669829587494405,4.188
LiFe0.16Mn0.52Ni0.13Mg0.19PO4,0.16,0.52,0.13,0.19,303.0553439723169,276.1788902829812,9.731538012118635,3.4410312163472847,4.268
LiFe0.49Mn0.05Ni0.12Mg0.35PO4,0.49,0.05,0.12,0.35,301.76400568447485,279.1014148263188,8.119840908817578,3.4624414038290636,4.202
LiFe0.14Mn0.37Ni0.40Mg0.08PO4,0.14,0.37,0.4,0.08,303.1336068988528,276.00176758338495,9.830313607419509,3.439733629227177,4.272
LiFe0.24Mn0.23Ni0.42Mg0.11PO4,0.24,0.23,0.42,0.11,302.74229226617337,276.887381081366,9.337699350484172,3.446221564827716,4.252
LiFe0.19Mn0.18Ni0.48Mg0.15PO4,0.19,0.18,0.48,0.15,302.93794958251306,276.4445743323755,9.583611946127027,3.442977597027447,4.262
