formula,x_Fe,x_Mn,x_Ni,x_Mg,V_lithiated,V_delithiated,dV_percent,density_g_cm3,U_cut_V
LiFe0.04Mn0.15Ni0.53Mg0.28PO4,0.04,0.15,0.53,0.28,303.5249215315322,275.1161540854039,10.326099367218335,3.4332456936266382,4.292
LiFe0.06Mn0.19Ni0.55Mg0.20PO4,0.06,0.19,0.55,0.2,303.4466586049963,275.29327678500005,10.22668702584539,3.434543280746746,4.288
LiFe0.00Mn0.78Ni0.03Mg0.19PO4,0.0,0.78,0.03,0.19,303.6814473846039,274.7619086862114,10.525308561391498,3.4306505193864227,4.3
LiFe0.03Mn0.68Ni0.11Mg0.17PO4,0.03,0.68,0.11,0.17,303.5640529948001,275.02759273560577,10.375853555402156,3.432596900066584,4.294
LiFe0.26Mn0.07Ni0.14Mg0.52PO4,0.26,0.07,0.14,0.52,302.66402933963747,277.06450378096224,9.23955440315564,3.447519151947824,4.248
LiFe0.35Mn0.38Ni0.16Mg0.11PO4,0.35,0.38,0.16,0.11,302.31184617022603,277.8615559291452,8.799450560665424,3.453358293988309,4.2299999999999995
LiFe0.58Mn0.09Ni0.31Mg0.03PO4,0.58,0.09,0.31,0.03,301.41182251506336,279.89846697450173,7.686128392593685,3.4682805458695487,4.184
LiFe0.07Mn0.06Ni0.63Mg0.24PO4,0.07,0.06,0.63,0.24,303.40752714172834,275.38183813479816,10.177028810887569,3.4351920743067996,4.286
LiFe0.17Mn0.04Ni0.37Mg0.43PO4,0.17,0.04,0.37,0.43,303.01621250904896,276.2674516327793,9.682197710291513,3.441680009907339,4.266
LiFe0.32Mn0.06Ni0.19Mg0.43PO4,0.32,0.06,0.19,0.43,302.4292405600298,277.59587187975086,8.945871029031837,3.451411913308147,4.236
LiFe0.38Mn0.16Ni0.31Mg0.15PO4,0.38,0.16,0.31,0.15,302.1944517804222,278.12723997853954,8.653309831766096,3.4553046746684704,4.224
LiFe0.08Mn0.14Ni0.30Mg0.47PO4,0.08,0.14,0.3,0.47,303.36839567846044,275.4703994845963,10.127402525302582,3.435840867866854,4.284
LiFe0.02Mn0.65Ni0.22Mg0.12PO4,0.02,0.65,0.22,0.12,303.60318445806803,274.9390313858076,10.425639796496382,3.4319481065065305,4.296
LiFe0.04Mn0.05Ni0.87Mg0.05PO4,0.04,0.05,0.87,0.05,303.5249215315322,275.1161540854039,10.326099367218335,3.4332456936266382,4.292
LiFe0.46Mn0.23Ni0.28Mg0.03PO4,0.46,0.23,0.28,0.03,301.88140007427864,278.8357307769244,8.264962755362003,3.460495023148902,4.208
LiFe0.40Mn0.45Ni0.02Mg0.12PO4,0.4,0.45,0.02,0.12,302.11618885388634,278.30436267813576,8.556037694345958,3.456602261788578,4.22
LiFe0.69Mn0.05Ni0.24Mg0.03PO4,0.69,0.05,0.24,0.03,300.98137641911603,280.8726418222809,7.159378167403966,3.475417275030141,4.162
LiFe0.48Mn0.03Ni0.30Mg0.19PO4,0.48,0.03,0.3,0.19,301.80313714774275,279.0128534765206,8.168184148957131,3.4617926102690095,4.204
LiFe0.27Mn0.26Ni0.11Mg0.36PO4,0.27,0.26,0.11,0.36,302.6248978763695,277.15306513076035,9.190528971271378,3.4481679455078775,4.2459999999999996
LiFe0.09Mn0.28Ni0.38Mg0.25PO4,0.09,0.28,0.38,0.25,303.3292642151925,275.5589608343944,10.0778081383053,3.436489661426908,4.282
LiFe0.65Mn0.18Ni0.05Mg0.12PO4,0.65,0.18,0.05,0.12,301.1379022721878,280.51839642308846,7.350500399268,3.4728221007899256,4.17
LiFe0.38Mn0.48Ni0.11Mg0.03PO4,0.38,0.48,0.11,0.03,302.1944517804222,278.12723997853954,8.653309831766096,3.4553046746684704,4.224
LiFe0.22Mn0.05Ni0.56Mg0.18PO4,0.22,0.05,0.56,0.18,302.82055519270926,276.71025838176985,9.435969943302835,3.4449239777076084,4.256
